AMIE;x;y
261;536931;9780738
262;537065,883;9894014,915
263;537217;9863171
264;537518,9423;9840330,084
265;537524,455;9884525,945
266;537595,341;9885013,936
267;537623;9790535
268;537662,656;9884764,749
269;537716,37;9883835,755
270;537743;9780942
271;537950,9665;9883443,855
272;538039,711;9884512,849
273;538357,2;9783164,3
274;538436,532;9884822,312
275;538451;9739675
276;538502;9884867
277;538720;9788525
278;538747,995;9883694,577
279;538828;9782758
280;538901,829;9880806,025
281;538904,26;9777738,08
282;538928;9777685
283;540045;9777981
284;540183;9893954
285;540485,106;9895089,824
286;540700;9775771
287;540866,83;9854452,33
288;541009,18;9890606,703
289;541110,34;9783539,12
290;541171,103;9848032,974
291;541569,9;9777761,17
292;541641,53;9836838,38
293;541732,4076;9872764,72
294;541839;9790540
295;542504,5944;9830522,538
296;542633;9785119
297;542696,4942;9871843,483
298;542872;9777232
299;542887,081;9857291,811
300;543238;9776763
301;543332;9732799
302;543875;9764189
303;544432;9778726
304;544558,7451;9829361,123
305;544975;9850136
306;545055,409;9849423,386
307;545335,975;9849497,973
308;545342,518;9882561,276
309;545603;9831061
310;545673,9798;9825894,887
311;545952,48;9861129,207
312;545989,1119;9842035,816
313;546037;9779052
314;546041,9544;9827297,979
315;546053,5099;9877593,816
316;546109,803;9850771,673
317;546199;9867182
318;546205,009;9886549,825
319;546232,7603;9837258,525
320;546397,714;9860845,199
321;546441,734;9850143,655
322;546454,63;9751527,63
323;546461,922;9850422,575
324;546566,7022;9849890,708
325;546601,91;9882528,66
326;546666,481;9851820,834
327;546775,2907;9803229,057
328;546820,014;9849451,404
329;546869,757;9851026,835
330;546943,313;9851335,447
331;547118;9833381
332;547206,5717;9811350,147
333;547248,335;9851890,021
334;547249,74;9852138,328
335;547263,987;9886956,332
336;547294,396;9851366,895
337;547309,111;9850473,566
338;547376,532;9850992,511
339;547405,818;9851236,71
340;547438;9780373
341;547761,546;9835311,346
342;547919;9855913
343;547936,063;9851456,416
344;547987;9782595
345;548173,1816;9830752,151
346;548374,72;9882446,186
347;548570;9727349
348;548610,69;9882323,311
349;548685,149;9805347,188
350;548731,7391;9820100,432
351;548914,1116;9820435,065
352;549022;9743704
